;D312_S1;D313_S2;D314_S3;D318_S7;D319_S8;D320_S9;D324_S13;D325_S14;D326_S15;D330_S19;D331_S20;D332_S21;D336_S25;D337_S26;D338_S27;D342_S31;D343_S32;D344_S33;D348_S37;D349_S38;D350_S39;D354_S43;D355_S44
Clostridium-sensu-stricto-13_Clostridiaceae-1_Clostridiales_Clostridia_Firmicutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cobetia_Halomonadaceae_Oceanospirillales_Gammaproteobacteria_Proteobacteria;0,004204911;0;0;0;0;0;0;0;0;0,007231769;0;0,009733443;0;0;0;0,009337824;0;0;0;0,010536174;0;0,009545081;0,005393336
Cohaesibacter_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colwellia_Colwelliaceae_Alteromonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comamonas_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crocinitomix_Cryomorphaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,60310443;0,70593587;0,69117732;0,77049335;0,51215278;0,50676648;0,36875402;0,43767097;0,5931221;0,29379062;0,90331016;0,47276722;0,3738045;0,33489903;1,18468923;0,62252159;0,52491198;0,49103377;0,32931844;0,61753688;0,34623913;0,17658401;0,15856408
Defluviicoccus_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Defluviimonas_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0,045653323;0;0,012778068;0,032408811;0,029761905;0,008638065;0,040596773;0,007815553;0,133307573;0,082261374;0,036845546;0,06118164;0,123478964;0,219954874;0,093246507;0,280757235;0,166435506;0,117891367;0,252902005;0,093654882;0,131332083;0,463890957;0,251329457
Deinococcus_Deinococcaceae_Deinococcales_Deinococci_Deinococcus-Thermus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007024116;0;0,011454098;0,006472003
Delftia_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Desulfovibrio_Desulfovibrionaceae_Desulfovibrionales_Deltaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0,009659969;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Devosia_Hyphomicrobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0,067278581;0,040027291;0,022071209;0,052272276;0,031001984;0,035991938;0,023681451;0,035951544;0,050231839;0,020791336;0,034468414;0,037543279;0,030308473;0,025543147;0,062673882;0,064742245;0,057612291;0,041099743;0,060041483;0,057363615;0,049462732;0,059179505;0,05393336
Diplosphaera_Opitutaceae_Opitutales_Opitutae_Verrucomicrobia;0,036042097;0,014555379;0,033687634;0,013590792;0,033482143;0,01151742;0,008457661;0;0,013523957;0;0,008319962;0,006952459;0;0,017028764;0;0;0;0;0;0;0;0;0
Dokdonella_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004097401;0;0;0
